species_name,genome_file_name,cds_file_name,original_name
saccharomyces_cerevisiae,saccharomyces_cerevisiae_genomic.fna,saccharomyces_cerevisiae_cds.fna,saccharomyces_cerevisiae
schizosaccharomyces_pombe,schizosaccharomyces_pombe_genomic.fna,schizosaccharomyces_pombe_cds.fna,schizosaccharomyces_pombe
aspergillus_nidulans,aspergillus_nidulans_genomic.fna,aspergillus_nidulans_cds.fna,aspergillus_nidulans
puccinia_graminis,puccinia_graminis_genomic.fna,puccinia_graminis_cds.fna,puccinia_graminis
magnaporthe_oryzae,magnaporthe_oryzae_genomic.fna,magnaporthe_oryzae_cds.fna,magnaporthe_oryzae
zymoseptoria_tritici,zymoseptoria_tritici_genomic.fna,zymoseptoria_tritici_cds.fna,zymoseptoria_tritici
aaosphaeria_arxii,aaosphaeria_arxii_cbs_175.79_genomic.fna,aaosphaeria_arxii_cbs_175.79_cds.fna,aaosphaeria_arxii_cbs_175.79
absidia_glauca,absidia_glauca_genomic.fna,absidia_glauca_cds.fna,absidia_glauca
absidia_repens,absidia_repens_str._nrrl_1336_genomic.fna,absidia_repens_str._nrrl_1336_cds.fna,absidia_repens_str._nrrl_1336
acaromyces_ingoldii,acaromyces_ingoldii_str._mca_4198_genomic.fna,acaromyces_ingoldii_str._mca_4198_cds.fna,acaromyces_ingoldii_str._mca_4198
acidomyces_richmondensis,acidomyces_richmondensis_bfw_genomic.fna,acidomyces_richmondensis_bfw_cds.fna,acidomyces_richmondensis_bfw
acidomyces_sp.,acidomyces_sp._'richmondensis'_genomic.fna,acidomyces_sp._'richmondensis'_cds.fna,acidomyces_sp._'richmondensis'
acremonium_chrysogenum,acremonium_chrysogenum_atcc_11550_genomic.fna,acremonium_chrysogenum_atcc_11550_cds.fna,acremonium_chrysogenum_atcc_11550
agaricus_bisporus,agaricus_bisporus_var._burnettii_jb137-s8_genomic.fna,agaricus_bisporus_var._burnettii_jb137-s8_cds.fna,agaricus_bisporus_var._burnettii_jb137-s8
agrocybe_aegerita,agrocybe_aegerita_genomic.fna,agrocybe_aegerita_cds.fna,agrocybe_aegerita
akanthomyces_lecanii,akanthomyces_lecanii_rcef_1005_genomic.fna,akanthomyces_lecanii_rcef_1005_cds.fna,akanthomyces_lecanii_rcef_1005
akanthomyces_lecanii,akanthomyces_lecanii_str._um487_genomic.fna,akanthomyces_lecanii_str._um487_cds.fna,akanthomyces_lecanii_str._um487
allomyces_macrogynus,allomyces_macrogynus_atcc_38327_genomic.fna,allomyces_macrogynus_atcc_38327_cds.fna,allomyces_macrogynus_atcc_38327
alternaria_alternata,alternaria_alternata_genomic.fna,alternaria_alternata_cds.fna,alternaria_alternata
alternaria_alternata,alternaria_alternata_str._src1lrk2f_genomic.fna,alternaria_alternata_str._src1lrk2f_cds.fna,alternaria_alternata_str._src1lrk2f
alternaria_arborescens,alternaria_arborescens_genomic.fna,alternaria_arborescens_cds.fna,alternaria_arborescens
alternaria_arborescens,alternaria_arborescens_genomic.fna,alternaria_arborescens_cds.fna,alternaria_arborescens
alternaria_arborescens,alternaria_arborescens_genomic.fna,alternaria_arborescens_cds.fna,alternaria_arborescens
alternaria_sp.,alternaria_sp._mg1_genomic.fna,alternaria_sp._mg1_cds.fna,alternaria_sp._mg1
alternaria_tenuissima,alternaria_tenuissima_genomic.fna,alternaria_tenuissima_cds.fna,alternaria_tenuissima
alternaria_tenuissima,alternaria_tenuissima_genomic.fna,alternaria_tenuissima_cds.fna,alternaria_tenuissima
alternaria_tenuissima,alternaria_tenuissima_genomic.fna,alternaria_tenuissima_cds.fna,alternaria_tenuissima
alternaria_tenuissima,alternaria_tenuissima_genomic.fna,alternaria_tenuissima_cds.fna,alternaria_tenuissima
alternaria_tenuissima,alternaria_tenuissima_genomic.fna,alternaria_tenuissima_cds.fna,alternaria_tenuissima
alternaria_tenuissima,alternaria_tenuissima_genomic.fna,alternaria_tenuissima_cds.fna,alternaria_tenuissima
alternaria_tenuissima,alternaria_tenuissima_genomic.fna,alternaria_tenuissima_cds.fna,alternaria_tenuissima
amanita_muscaria,amanita_muscaria_koide_bx008_genomic.fna,amanita_muscaria_koide_bx008_cds.fna,amanita_muscaria_koide_bx008
amanita_thiersii,amanita_thiersii_skay4041_genomic.fna,amanita_thiersii_skay4041_cds.fna,amanita_thiersii_skay4041
amniculicola_lignicola,amniculicola_lignicola_cbs_123094_genomic.fna,amniculicola_lignicola_cbs_123094_cds.fna,amniculicola_lignicola_cbs_123094
amorphotheca_resinae,amorphotheca_resinae_atcc_22711_genomic.fna,amorphotheca_resinae_atcc_22711_cds.fna,amorphotheca_resinae_atcc_22711
ampelomyces_quisqualis,ampelomyces_quisqualis_str._hmlac05119_genomic.fna,ampelomyces_quisqualis_str._hmlac05119_cds.fna,ampelomyces_quisqualis_str._hmlac05119
amphiamblys_sp.,amphiamblys_sp._wsbs2006_genomic.fna,amphiamblys_sp._wsbs2006_cds.fna,amphiamblys_sp._wsbs2006
anaeromyces_robustus,anaeromyces_robustus_str._s4_genomic.fna,anaeromyces_robustus_str._s4_cds.fna,anaeromyces_robustus_str._s4
anncaliia_algerae,anncaliia_algerae_pra109_genomic.fna,anncaliia_algerae_pra109_cds.fna,anncaliia_algerae_pra109
anncaliia_algerae,anncaliia_algerae_pra339_genomic.fna,anncaliia_algerae_pra339_cds.fna,anncaliia_algerae_pra339
anthracocystis_flocculosa,anthracocystis_flocculosa_genomic.fna,anthracocystis_flocculosa_cds.fna,anthracocystis_flocculosa
anthracocystis_flocculosa,anthracocystis_flocculosa_pf-1_genomic.fna,anthracocystis_flocculosa_pf-1_cds.fna,anthracocystis_flocculosa_pf-1
antrodiella_citrinella,antrodiella_citrinella_str._dsm_108506_genomic.fna,antrodiella_citrinella_str._dsm_108506_cds.fna,antrodiella_citrinella_str._dsm_108506
apiotrichum_porosum,apiotrichum_porosum_str._dsm_27194_genomic.fna,apiotrichum_porosum_str._dsm_27194_cds.fna,apiotrichum_porosum_str._dsm_27194
aplosporella_prunicola,aplosporella_prunicola_cbs_121167_genomic.fna,aplosporella_prunicola_cbs_121167_cds.fna,aplosporella_prunicola_cbs_121167
armillaria_gallica,armillaria_gallica_str._ar21-2_genomic.fna,armillaria_gallica_str._ar21-2_cds.fna,armillaria_gallica_str._ar21-2
armillaria_ostoyae,armillaria_ostoyae_genomic.fna,armillaria_ostoyae_cds.fna,armillaria_ostoyae
armillaria_solidipes,armillaria_solidipes_str._28-4_genomic.fna,armillaria_solidipes_str._28-4_cds.fna,armillaria_solidipes_str._28-4
arthrobotrys_flagrans,arthrobotrys_flagrans_str._cbs_h-5679_genomic.fna,arthrobotrys_flagrans_str._cbs_h-5679_cds.fna,arthrobotrys_flagrans_str._cbs_h-5679
arthrobotrys_oligospora,arthrobotrys_oligospora_atcc_24927_genomic.fna,arthrobotrys_oligospora_atcc_24927_cds.fna,arthrobotrys_oligospora_atcc_24927
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf102_genomic.fna,arthrobotrys_oligospora_str._twf102_cds.fna,arthrobotrys_oligospora_str._twf102
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf103_genomic.fna,arthrobotrys_oligospora_str._twf103_cds.fna,arthrobotrys_oligospora_str._twf103
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf154_genomic.fna,arthrobotrys_oligospora_str._twf154_cds.fna,arthrobotrys_oligospora_str._twf154
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf191_genomic.fna,arthrobotrys_oligospora_str._twf191_cds.fna,arthrobotrys_oligospora_str._twf191
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf217_genomic.fna,arthrobotrys_oligospora_str._twf217_cds.fna,arthrobotrys_oligospora_str._twf217
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf225_genomic.fna,arthrobotrys_oligospora_str._twf225_cds.fna,arthrobotrys_oligospora_str._twf225
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf569_genomic.fna,arthrobotrys_oligospora_str._twf569_cds.fna,arthrobotrys_oligospora_str._twf569
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf594_genomic.fna,arthrobotrys_oligospora_str._twf594_cds.fna,arthrobotrys_oligospora_str._twf594
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf703_genomic.fna,arthrobotrys_oligospora_str._twf703_cds.fna,arthrobotrys_oligospora_str._twf703
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf706_genomic.fna,arthrobotrys_oligospora_str._twf706_cds.fna,arthrobotrys_oligospora_str._twf706
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf751_genomic.fna,arthrobotrys_oligospora_str._twf751_cds.fna,arthrobotrys_oligospora_str._twf751
arthrobotrys_oligospora,arthrobotrys_oligospora_str._twf970_genomic.fna,arthrobotrys_oligospora_str._twf970_cds.fna,arthrobotrys_oligospora_str._twf970
ascobolus_immersus,ascobolus_immersus_rn42_genomic.fna,ascobolus_immersus_rn42_cds.fna,ascobolus_immersus_rn42
ascochyta_rabiei,ascochyta_rabiei_str._ardii_genomic.fna,ascochyta_rabiei_str._ardii_cds.fna,ascochyta_rabiei_str._ardii
ascodesmis_nigricans,ascodesmis_nigricans_str._cbs_389.68_genomic.fna,ascodesmis_nigricans_str._cbs_389.68_cds.fna,ascodesmis_nigricans_str._cbs_389.68
ascoidea_rubescens,ascoidea_rubescens_dsm_1968_genomic.fna,ascoidea_rubescens_dsm_1968_cds.fna,ascoidea_rubescens_dsm_1968
ascosphaera_apis,ascosphaera_apis_arsef_7405_genomic.fna,ascosphaera_apis_arsef_7405_cds.fna,ascosphaera_apis_arsef_7405
ashbya_gossypii,ashbya_gossypii_genomic.fna,ashbya_gossypii_cds.fna,ashbya_gossypii
aspergillus_aculeatinus,aspergillus_aculeatinus_cbs_121060_genomic.fna,aspergillus_aculeatinus_cbs_121060_cds.fna,aspergillus_aculeatinus_cbs_121060
aspergillus_aculeatus,aspergillus_aculeatus_atcc_16872_genomic.fna,aspergillus_aculeatus_atcc_16872_cds.fna,aspergillus_aculeatus_atcc_16872
aspergillus_alliaceus,aspergillus_alliaceus_str._cbs_536.65_genomic.fna,aspergillus_alliaceus_str._cbs_536.65_cds.fna,aspergillus_alliaceus_str._cbs_536.65
aspergillus_alliaceus,aspergillus_alliaceus_str._ibt_14317_genomic.fna,aspergillus_alliaceus_str._ibt_14317_cds.fna,aspergillus_alliaceus_str._ibt_14317
aspergillus_arachidicola,aspergillus_arachidicola_str._cbs_117610_genomic.fna,aspergillus_arachidicola_str._cbs_117610_cds.fna,aspergillus_arachidicola_str._cbs_117610
aspergillus_arachidicola,aspergillus_arachidicola_str._cbs_117612_genomic.fna,aspergillus_arachidicola_str._cbs_117612_cds.fna,aspergillus_arachidicola_str._cbs_117612
aspergillus_avenaceus,aspergillus_avenaceus_str._ibt_18842_genomic.fna,aspergillus_avenaceus_str._ibt_18842_cds.fna,aspergillus_avenaceus_str._ibt_18842
