Organism	NCBI_taxon_id	Is Reference Strain	Species	Chromosomes
Allomyces macrogynus ATCC 38327	28583	yes	Allomyces macrogynus	0
Alternaria alternata SRC1lrK2f	5599	yes	Alternaria alternata	0
Amauroascus mutatus isolate UAMH 3576	113399	yes	Amauroascus mutatus	0
Amauroascus niger isolate UAMH 3544	89421	yes	Amauroascus niger	0
Apiotrichum montevideense JCM 9937	82521	yes	Apiotrichum montevideense	0
Apophysomyces variabilis NCCPF 102052	760013	yes	Apophysomyces variabilis	0
Arthrobotrys flagrans CBS H-5679	97331	yes	Arthrobotrys flagrans	0
Ascosphaera apis ARSEF 7405	5105	yes	Ascosphaera apis	0
Aspergillus aculeatus ATCC 16872	5053	yes	Aspergillus aculeatus	0
Aspergillus brasiliensis CBS 101740	319629	yes	Aspergillus brasiliensis	0
Aspergillus campestris IBT 28561	41068	yes	Aspergillus campestris	0
Aspergillus carbonarius ITEM 5010	40993	yes	Aspergillus carbonarius	0
Aspergillus clavatus NRRL 1	5057	yes	Aspergillus clavatus	0
Aspergillus cristatus GZAAS20.1005	573508	yes	Aspergillus cristatus	0
Aspergillus eucalypticola CBS 122712	1340029	yes	Aspergillus eucalypticola	0
Aspergillus fijiensis CBS 313.89	1191702	yes	Aspergillus fijiensis	0
Aspergillus fischeri NRRL 181	36630	yes	Aspergillus fischeri	0
Aspergillus flavus NRRL3357	5059	yes	Aspergillus flavus	0
Aspergillus flavus NRRL3357 2020	5059	no	Aspergillus flavus	8
Aspergillus fumigatus A1163	746128	no	Aspergillus fumigatus	0
Aspergillus fumigatus Af293	746128	yes	Aspergillus fumigatus	8
Aspergillus glaucus CBS 516.65	41413	yes	Aspergillus glaucus	0
Aspergillus heteromorphus CBS 117.55	51019	yes	Aspergillus heteromorphus	0
Aspergillus homomorphus CBS 101889	319626	yes	Aspergillus homomorphus	0
Aspergillus lentulus strain IFM 54703	293939	yes	Aspergillus lentulus	0
Aspergillus luchuensis CBS 106.47	1069201	yes	Aspergillus luchuensis	0
Aspergillus luchuensis IFO 4308	1069201	no	Aspergillus luchuensis	0
Aspergillus nidulans FGSC A4	162425	yes	Aspergillus nidulans	8
Aspergillus niger ATCC 1015	5061	no	Aspergillus niger	0
Aspergillus niger ATCC 13496	5061	no	Aspergillus niger	0
Aspergillus niger CBS 513.88	5061	yes	Aspergillus niger	19
Aspergillus niger strain LDM3	5061	no	Aspergillus niger	0
Aspergillus niger strain N402 (ATCC64974)	5061	no	Aspergillus niger	0
Aspergillus novofumigatus IBT 16806	340412	yes	Aspergillus novofumigatus	0
Aspergillus ochraceoroseus IBT 24754	138278	yes	Aspergillus ochraceoroseus	0
Aspergillus oryzae RIB40	5062	yes	Aspergillus oryzae	8
Aspergillus parasiticus CBS 117618	5067	yes	Aspergillus parasiticus	0
Aspergillus steynii IBT 23096	306088	yes	Aspergillus steynii	0
Aspergillus sydowii CBS 593.65	75750	yes	Aspergillus sydowii	0
Aspergillus tanneri NIH1004	1220188	yes	Aspergillus tanneri	0
Aspergillus terreus NIH2624	33178	yes	Aspergillus terreus	0
Aspergillus thermomutatus strain HMR AF 39	41047	yes	Aspergillus thermomutatus	0
Aspergillus tubingensis CBS 134.48	5068	yes	Aspergillus tubingensis	0
Aspergillus uvarum CBS 121591	446911	yes	Aspergillus uvarum	0
Aspergillus versicolor CBS 583.65	46472	yes	Aspergillus versicolor	0
Aspergillus wentii DTO 134E9	5066	yes	Aspergillus wentii	0
Batrachochytrium dendrobatidis JEL423	109871	yes	Batrachochytrium dendrobatidis	0
Batrachochytrium salamandrivorans BS	1357716	yes	Batrachochytrium salamandrivorans	0
Beauveria bassiana HN6	176275	yes	Beauveria bassiana	12
Blastomyces dermatitidis ATCC 26199	5039	no	Blastomyces dermatitidis	0
Blastomyces dermatitidis ER-3	5039	yes	Blastomyces dermatitidis	0
Blastomyces gilchristii SLH14081	1681229	yes	Blastomyces gilchristii	0
