,Species,DNA (FASTA),cDNA (FASTA),CDS (FASTA),ncRNA (FASTA),Protein sequence (FASTA),Annotated sequence (EMBL),Annotated sequence (GenBank),Gene sets,Other annotations,Whole databases,Variation (GVF),Variation (VCF),Variation (VEP),cds_url,dna_url,prot_url
Y,Saccharomyces cerevisiae,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,GVF,VCF,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/saccharomyces_cerevisiae/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/saccharomyces_cerevisiae/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/saccharomyces_cerevisiae/pep/
Y,Schizosaccharomyces pombe,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,GVF,VCF,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/schizosaccharomyces_pombe/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/schizosaccharomyces_pombe/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/schizosaccharomyces_pombe/pep/
Y,Aspergillus nidulans,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/aspergillus_nidulans/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/aspergillus_nidulans/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/aspergillus_nidulans/pep/
Y,Puccinia graminis,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,GVF,VCF,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/puccinia_graminis/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/puccinia_graminis/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/puccinia_graminis/pep/
Y,Magnaporthe oryzae,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/magnaporthe_oryzae/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/magnaporthe_oryzae/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/magnaporthe_oryzae/pep/
Y,Zymoseptoria tritici,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,GVF,VCF,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/zymoseptoria_tritici/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/zymoseptoria_tritici/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/zymoseptoria_tritici/pep/
,Aaosphaeria arxii CBS 175.79,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/aaosphaeria_arxii_cbs_175_79_gca_010015735/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/aaosphaeria_arxii_cbs_175_79_gca_010015735/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_ascomycota5_collection/aaosphaeria_arxii_cbs_175_79_gca_010015735/pep/
,Absidia glauca,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_mucoromycota1_collection/absidia_glauca_gca_900079185/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_mucoromycota1_collection/absidia_glauca_gca_900079185/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_mucoromycota1_collection/absidia_glauca_gca_900079185/pep/
,Absidia repens str. NRRL 1336,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_mucoromycota1_collection/absidia_repens_gca_002105175/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_mucoromycota1_collection/absidia_repens_gca_002105175/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_mucoromycota1_collection/absidia_repens_gca_002105175/pep/
,Acaromyces ingoldii str. MCA 4198,FASTA,FASTA,FASTA,FASTA,FASTA,EMBL,GenBank,GTF GFF3,TSV JSON,MySQL,-,-,VEP,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/acaromyces_ingoldii_gca_003144295/cds/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/acaromyces_ingoldii_gca_003144295/dna/,https://ftp.ebi.ac.uk/ensemblgenomes/pub/release-57/fungi/fasta/fungi_basidiomycota1_collection/acaromyces_ingoldii_gca_003144295/pep/
