species_name,genome_file_name,cds_file_name,original_name
saccharomyces_cerevisiae,saccharomyces_cerevisiae_genomic.fna,saccharomyces_cerevisiae_cds.fna,saccharomyces_cerevisiae
fusarium_oxysporum,fusarium_oxysporum_genomic.fna,fusarium_oxysporum_cds.fna,fusarium_oxysporum
candida_albicans,candida_albicans_genomic.fna,candida_albicans_cds.fna,candida_albicans
cryptococcus_neoformans,cryptococcus_neoformans_genomic.fna,cryptococcus_neoformans_cds.fna,cryptococcus_neoformans
saccharomyces_kudriavzevii,saccharomyces_kudriavzevii_genomic.fna,saccharomyces_kudriavzevii_cds.fna,saccharomyces_kudriavzevii
pyricularia_oryzae,pyricularia_oryzae_genomic.fna,pyricularia_oryzae_cds.fna,pyricularia_oryzae
trichophyton_rubrum,trichophyton_rubrum_genomic.fna,trichophyton_rubrum_cds.fna,trichophyton_rubrum
cryptococcus_gattii,cryptococcus_gattii_vgii_genomic.fna,cryptococcus_gattii_vgii_cds.fna,cryptococcus_gattii_vgii
puccinia_striiformis,puccinia_striiformis_genomic.fna,puccinia_striiformis_cds.fna,puccinia_striiformis
rhizoctonia_solani,rhizoctonia_solani_genomic.fna,rhizoctonia_solani_cds.fna,rhizoctonia_solani
aspergillus_oryzae,aspergillus_oryzae_genomic.fna,aspergillus_oryzae_cds.fna,aspergillus_oryzae
zymoseptoria_tritici,zymoseptoria_tritici_genomic.fna,zymoseptoria_tritici_cds.fna,zymoseptoria_tritici
aspergillus_fumigatus,aspergillus_fumigatus_genomic.fna,aspergillus_fumigatus_cds.fna,aspergillus_fumigatus
rhizopus_microsporus,rhizopus_microsporus_genomic.fna,rhizopus_microsporus_cds.fna,rhizopus_microsporus
blumeria_graminis,blumeria_graminis_genomic.fna,blumeria_graminis_cds.fna,blumeria_graminis
cryptococcus_gattii,cryptococcus_gattii_vgi_genomic.fna,cryptococcus_gattii_vgi_cds.fna,cryptococcus_gattii_vgi
aspergillus_niger,aspergillus_niger_genomic.fna,aspergillus_niger_cds.fna,aspergillus_niger
encephalitozoon_cuniculi,encephalitozoon_cuniculi_genomic.fna,encephalitozoon_cuniculi_cds.fna,encephalitozoon_cuniculi
rhizopus_delemar,rhizopus_delemar_genomic.fna,rhizopus_delemar_cds.fna,rhizopus_delemar
serpula_lacrymans,serpula_lacrymans_genomic.fna,serpula_lacrymans_cds.fna,serpula_lacrymans
agaricus_bisporus,agaricus_bisporus_genomic.fna,agaricus_bisporus_cds.fna,agaricus_bisporus
verticillium_dahliae,verticillium_dahliae_genomic.fna,verticillium_dahliae_cds.fna,verticillium_dahliae
saccharomyces_pastorianus,saccharomyces_pastorianus_genomic.fna,saccharomyces_pastorianus_cds.fna,saccharomyces_pastorianus
coccidioides_immitis,coccidioides_immitis_genomic.fna,coccidioides_immitis_cds.fna,coccidioides_immitis
blastomyces_dermatitidis,blastomyces_dermatitidis_genomic.fna,blastomyces_dermatitidis_cds.fna,blastomyces_dermatitidis
histoplasma_capsulatum,histoplasma_capsulatum_genomic.fna,histoplasma_capsulatum_cds.fna,histoplasma_capsulatum
penicillium_oxalicum,penicillium_oxalicum_genomic.fna,penicillium_oxalicum_cds.fna,penicillium_oxalicum
kwoniella_mangrovensis,kwoniella_mangrovensis_genomic.fna,kwoniella_mangrovensis_cds.fna,kwoniella_mangrovensis
drepanopeziza_brunnea,drepanopeziza_brunnea_genomic.fna,drepanopeziza_brunnea_cds.fna,drepanopeziza_brunnea
penicillium_digitatum,penicillium_digitatum_genomic.fna,penicillium_digitatum_cds.fna,penicillium_digitatum
rhodotorula_toruloides,rhodotorula_toruloides_genomic.fna,rhodotorula_toruloides_cds.fna,rhodotorula_toruloides
brettanomyces_bruxellensis,brettanomyces_bruxellensis_genomic.fna,brettanomyces_bruxellensis_cds.fna,brettanomyces_bruxellensis
puccinia_triticina,puccinia_triticina_genomic.fna,puccinia_triticina_cds.fna,puccinia_triticina
botrytis_cinerea,botrytis_cinerea_genomic.fna,botrytis_cinerea_cds.fna,botrytis_cinerea
schizophyllum_commune,schizophyllum_commune_genomic.fna,schizophyllum_commune_cds.fna,schizophyllum_commune
yarrowia_lipolytica,yarrowia_lipolytica_genomic.fna,yarrowia_lipolytica_cds.fna,yarrowia_lipolytica
trichophyton_interdigitale,trichophyton_interdigitale_genomic.fna,trichophyton_interdigitale_cds.fna,trichophyton_interdigitale
aspergillus_luchuensis,aspergillus_luchuensis_genomic.fna,aspergillus_luchuensis_cds.fna,aspergillus_luchuensis
umbelopsis_isabellina,umbelopsis_isabellina_genomic.fna,umbelopsis_isabellina_cds.fna,umbelopsis_isabellina
komagataella_phaffii,komagataella_phaffii_genomic.fna,komagataella_phaffii_cds.fna,komagataella_phaffii
amanita_muscaria,amanita_muscaria_genomic.fna,amanita_muscaria_cds.fna,amanita_muscaria
rhizophagus_irregularis,rhizophagus_irregularis_genomic.fna,rhizophagus_irregularis_cds.fna,rhizophagus_irregularis
nadsonia_fulvescens,nadsonia_fulvescens_genomic.fna,nadsonia_fulvescens_cds.fna,nadsonia_fulvescens
serendipita_vermifera,serendipita_vermifera_genomic.fna,serendipita_vermifera_cds.fna,serendipita_vermifera
colletotrichum_gloeosporioides,colletotrichum_gloeosporioides_genomic.fna,colletotrichum_gloeosporioides_cds.fna,colletotrichum_gloeosporioides
lentinus_tigrinus,lentinus_tigrinus_genomic.fna,lentinus_tigrinus_cds.fna,lentinus_tigrinus
cryptococcus_depauperatus,cryptococcus_depauperatus_genomic.fna,cryptococcus_depauperatus_cds.fna,cryptococcus_depauperatus
cryptococcus_amylolentus,cryptococcus_amylolentus_genomic.fna,cryptococcus_amylolentus_cds.fna,cryptococcus_amylolentus
kwoniella_heveanensis,kwoniella_heveanensis_genomic.fna,kwoniella_heveanensis_cds.fna,kwoniella_heveanensis
trichosporon_asahii,trichosporon_asahii_genomic.fna,trichosporon_asahii_cds.fna,trichosporon_asahii
cyberlindnera_jadinii,cyberlindnera_jadinii_genomic.fna,cyberlindnera_jadinii_cds.fna,cyberlindnera_jadinii
aureobasidium_pullulans,aureobasidium_pullulans_genomic.fna,aureobasidium_pullulans_cds.fna,aureobasidium_pullulans
fusarium_fujikuroi,fusarium_fujikuroi_genomic.fna,fusarium_fujikuroi_cds.fna,fusarium_fujikuroi
pyricularia_grisea,pyricularia_grisea_genomic.fna,pyricularia_grisea_cds.fna,pyricularia_grisea
anncaliia_algerae,anncaliia_algerae_genomic.fna,anncaliia_algerae_cds.fna,anncaliia_algerae
daldinia_eschscholtzii,daldinia_eschscholtzii_genomic.fna,daldinia_eschscholtzii_cds.fna,daldinia_eschscholtzii
exserohilum_turcicum,exserohilum_turcicum_genomic.fna,exserohilum_turcicum_cds.fna,exserohilum_turcicum
candida_orthopsilosis,candida_orthopsilosis_genomic.fna,candida_orthopsilosis_cds.fna,candida_orthopsilosis
glarea_lozoyensis,glarea_lozoyensis_genomic.fna,glarea_lozoyensis_cds.fna,glarea_lozoyensis
pochonia_chlamydosporia,pochonia_chlamydosporia_genomic.fna,pochonia_chlamydosporia_cds.fna,pochonia_chlamydosporia
kluyveromyces_marxianus,kluyveromyces_marxianus_genomic.fna,kluyveromyces_marxianus_cds.fna,kluyveromyces_marxianus
sporisorium_reilianum,sporisorium_reilianum_genomic.fna,sporisorium_reilianum_cds.fna,sporisorium_reilianum
cronartium_quercuum,cronartium_quercuum_genomic.fna,cronartium_quercuum_cds.fna,cronartium_quercuum
neurospora_tetrasperma,neurospora_tetrasperma_genomic.fna,neurospora_tetrasperma_cds.fna,neurospora_tetrasperma
wickerhamomyces_anomalus,wickerhamomyces_anomalus_genomic.fna,wickerhamomyces_anomalus_cds.fna,wickerhamomyces_anomalus
nematocida_parisii,nematocida_parisii_genomic.fna,nematocida_parisii_cds.fna,nematocida_parisii
bipolaris_maydis,bipolaris_maydis_genomic.fna,bipolaris_maydis_cds.fna,bipolaris_maydis
epichloe_festucae,epichloe_festucae_genomic.fna,epichloe_festucae_cds.fna,epichloe_festucae
pseudogymnoascus_destructans,pseudogymnoascus_destructans_genomic.fna,pseudogymnoascus_destructans_cds.fna,pseudogymnoascus_destructans
beauveria_bassiana,beauveria_bassiana_genomic.fna,beauveria_bassiana_cds.fna,beauveria_bassiana
trichoderma_virens,trichoderma_virens_genomic.fna,trichoderma_virens_cds.fna,trichoderma_virens
postia_placenta,postia_placenta_genomic.fna,postia_placenta_cds.fna,postia_placenta
talaromyces_marneffei,talaromyces_marneffei_genomic.fna,talaromyces_marneffei_cds.fna,talaromyces_marneffei
parastagonospora_nodorum,parastagonospora_nodorum_genomic.fna,parastagonospora_nodorum_cds.fna,parastagonospora_nodorum
batrachochytrium_dendrobatidis,batrachochytrium_dendrobatidis_genomic.fna,batrachochytrium_dendrobatidis_cds.fna,batrachochytrium_dendrobatidis
cryptococcus_gattii,cryptococcus_gattii_vgiii_genomic.fna,cryptococcus_gattii_vgiii_cds.fna,cryptococcus_gattii_vgiii
aspergillus_flavus,aspergillus_flavus_genomic.fna,aspergillus_flavus_cds.fna,aspergillus_flavus
puccinia_graminis,puccinia_graminis_genomic.fna,puccinia_graminis_cds.fna,puccinia_graminis
paracoccidioides_brasiliensis,paracoccidioides_brasiliensis_genomic.fna,paracoccidioides_brasiliensis_cds.fna,paracoccidioides_brasiliensis
trichoderma_reesei,trichoderma_reesei_genomic.fna,trichoderma_reesei_cds.fna,trichoderma_reesei
clavispora_lusitaniae,clavispora_lusitaniae_genomic.fna,clavispora_lusitaniae_cds.fna,clavispora_lusitaniae
debaryomyces_hansenii,debaryomyces_hansenii_genomic.fna,debaryomyces_hansenii_cds.fna,debaryomyces_hansenii
eremothecium_gossypii,eremothecium_gossypii_genomic.fna,eremothecium_gossypii_cds.fna,eremothecium_gossypii
naumovozyma_castellii,naumovozyma_castellii_genomic.fna,naumovozyma_castellii_cds.fna,naumovozyma_castellii
aspergillus_terreus,aspergillus_terreus_genomic.fna,aspergillus_terreus_cds.fna,aspergillus_terreus
collybiopsis_luxurians,collybiopsis_luxurians_genomic.fna,collybiopsis_luxurians_cds.fna,collybiopsis_luxurians
annulohypoxylon_bovei,annulohypoxylon_bovei_genomic.fna,annulohypoxylon_bovei_cds.fna,annulohypoxylon_bovei
guyanagaster_necrorhizus,guyanagaster_necrorhizus_genomic.fna,guyanagaster_necrorhizus_cds.fna,guyanagaster_necrorhizus
orbilia_oligospora,orbilia_oligospora_genomic.fna,orbilia_oligospora_cds.fna,orbilia_oligospora
hydnum_rufescens,hydnum_rufescens_genomic.fna,hydnum_rufescens_cds.fna,hydnum_rufescens
fusarium_vanettenii,fusarium_vanettenii_genomic.fna,fusarium_vanettenii_cds.fna,fusarium_vanettenii
fusarium_odoratissimum,fusarium_odoratissimum_genomic.fna,fusarium_odoratissimum_cds.fna,fusarium_odoratissimum
akanthomyces_lecanii,akanthomyces_lecanii_genomic.fna,akanthomyces_lecanii_cds.fna,akanthomyces_lecanii
suillus_brevipes,suillus_brevipes_genomic.fna,suillus_brevipes_cds.fna,suillus_brevipes
plenodomus_tracheiphilus,plenodomus_tracheiphilus_genomic.fna,plenodomus_tracheiphilus_cds.fna,plenodomus_tracheiphilus
massarina_eburnea,massarina_eburnea_genomic.fna,massarina_eburnea_cds.fna,massarina_eburnea
karstenula_rhodostoma,karstenula_rhodostoma_genomic.fna,karstenula_rhodostoma_cds.fna,karstenula_rhodostoma
delitschia_confertaspora,delitschia_confertaspora_genomic.fna,delitschia_confertaspora_cds.fna,delitschia_confertaspora
bimuria_novae-zelandiae,bimuria_novae-zelandiae_genomic.fna,bimuria_novae-zelandiae_cds.fna,bimuria_novae-zelandiae
aaosphaeria_arxii,aaosphaeria_arxii_genomic.fna,aaosphaeria_arxii_cds.fna,aaosphaeria_arxii
amniculicola_lignicola,amniculicola_lignicola_genomic.fna,amniculicola_lignicola_cds.fna,amniculicola_lignicola
dothidotthia_symphoricarpi,dothidotthia_symphoricarpi_genomic.fna,dothidotthia_symphoricarpi_cds.fna,dothidotthia_symphoricarpi
didymella_exigua,didymella_exigua_genomic.fna,didymella_exigua_cds.fna,didymella_exigua
eremomyces_bilateralis,eremomyces_bilateralis_genomic.fna,eremomyces_bilateralis_cds.fna,eremomyces_bilateralis
gymnopus_androsaceus,gymnopus_androsaceus_genomic.fna,gymnopus_androsaceus_cds.fna,gymnopus_androsaceus
stipitochalara_longipes,stipitochalara_longipes_genomic.fna,stipitochalara_longipes_cds.fna,stipitochalara_longipes
macrolepiota_fuliginosa,macrolepiota_fuliginosa_genomic.fna,macrolepiota_fuliginosa_cds.fna,macrolepiota_fuliginosa
thermothielavioides_terrestris,thermothielavioides_terrestris_genomic.fna,thermothielavioides_terrestris_cds.fna,thermothielavioides_terrestris
