species_name,genome_file_name,cds_file_name,original_name
zymoseptoria_pseudotritici,zymoseptoria_pseudotritici_stir04_2.2.1_genomic.fna,zymoseptoria_pseudotritici_stir04_2.2.1_cds.fna,zymoseptoria_pseudotritici_stir04_2.2.1
zymoseptoria_brevis,zymoseptoria_brevis_zb18110_genomic.fna,zymoseptoria_brevis_zb18110_cds.fna,zymoseptoria_brevis_zb18110
zymoseptoria_ardabiliae,zymoseptoria_ardabiliae_stir04_1.1.1_genomic.fna,zymoseptoria_ardabiliae_stir04_1.1.1_cds.fna,zymoseptoria_ardabiliae_stir04_1.1.1
zygosaccharomyces_rouxii,zygosaccharomyces_rouxii_nrrl_y-64007_v1.0_genomic.fna,zygosaccharomyces_rouxii_nrrl_y-64007_v1.0_cds.fna,zygosaccharomyces_rouxii_nrrl_y-64007_v1.0
zygosaccharomyces_rouxii,zygosaccharomyces_rouxii_cbs732_genomic.fna,zygosaccharomyces_rouxii_cbs732_cds.fna,zygosaccharomyces_rouxii_cbs732
zygoascus_hellenicus,zygoascus_hellenicus_y-7136_v1.0_genomic.fna,zygoascus_hellenicus_y-7136_v1.0_cds.fna,zygoascus_hellenicus_y-7136_v1.0
zychaea_mexicana,zychaea_mexicana_rsa_1403_v1.0_genomic.fna,zychaea_mexicana_rsa_1403_v1.0_cds.fna,zychaea_mexicana_rsa_1403_v1.0
zopfia_rhizophila,zopfia_rhizophila_v1.0_genomic.fna,zopfia_rhizophila_v1.0_cds.fna,zopfia_rhizophila_v1.0
zoophthora_radicans,zoophthora_radicans_atcc_208865_v1.0_genomic.fna,zoophthora_radicans_atcc_208865_v1.0_cds.fna,zoophthora_radicans_atcc_208865_v1.0
zasmidium_cellare,zasmidium_cellare_atcc_36951_v1.0_genomic.fna,zasmidium_cellare_atcc_36951_v1.0_cds.fna,zasmidium_cellare_atcc_36951_v1.0
zancudomyces_culisetae,zancudomyces_culisetae_col-18-3_genomic.fna,zancudomyces_culisetae_col-18-3_cds.fna,zancudomyces_culisetae_col-18-3
zalerion_varium,zalerion_varium_mpi-cage-at-0135_v1.0_genomic.fna,zalerion_varium_mpi-cage-at-0135_v1.0_cds.fna,zalerion_varium_mpi-cage-at-0135_v1.0
yarrowia_lipolytica,yarrowia_lipolytica_ylcw001_v1.0_genomic.fna,yarrowia_lipolytica_ylcw001_v1.0_cds.fna,yarrowia_lipolytica_ylcw001_v1.0
yarrowia_lipolytica,yarrowia_lipolytica_yb567_v1.0_genomic.fna,yarrowia_lipolytica_yb567_v1.0_cds.fna,yarrowia_lipolytica_yb567_v1.0
yarrowia_lipolytica,yarrowia_lipolytica_yb566_v1.0_genomic.fna,yarrowia_lipolytica_yb566_v1.0_cds.fna,yarrowia_lipolytica_yb566_v1.0
yarrowia_lipolytica,yarrowia_lipolytica_yb420_v1.0_genomic.fna,yarrowia_lipolytica_yb420_v1.0_cds.fna,yarrowia_lipolytica_yb420_v1.0
yarrowia_lipolytica,yarrowia_lipolytica_yb419_v1.0_genomic.fna,yarrowia_lipolytica_yb419_v1.0_cds.fna,yarrowia_lipolytica_yb419_v1.0
