"GFF Download Link","Organellar genome(s)","VEuPathDB Project","Chromosomes","Supercontigs","Contigs","Available for community annotation","Genome Source","Genome Version/Assembly ID","Mega base Pairs","Structural Annotation Source","Structural Annotation Version","Is Reference Strain","Organism","Species","Species NCBI taxon ID","Strain","Strain NCBI taxon ID","Genome Fasta Download Link","Protein Fasta Download Link","ChIP chip","EC#","ESTs","Genes","GO terms","Microarray","Non Protein coding genes","Orthologs","Popset Sequences","Protein coding genes","Proteomics","Pseudogenes","RNA Seq","RT-PCR","SNPs","TFBS","User comments"
"http://FungiDB.org/common/downloads/Current_Release/KmarxianusDMKU3-1042/gff/data/FungiDB-64_KmarxianusDMKU3-1042.gff","yes","FungiDB","8","0","0","Apollo","INSDC","GCF_001417885.1","   10.97","RefSeq","Oct 23, 2017","yes","Kluyveromyces marxianus DMKU3-1042","Kluyveromyces marxianus","4911","DMKU3-1042","1003335","http://FungiDB.org/common/downloads/Current_Release/KmarxianusDMKU3-1042/fasta/data/FungiDB-64_KmarxianusDMKU3-1042_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/KmarxianusDMKU3-1042/fasta/data/FungiDB-64_KmarxianusDMKU3-1042_AnnotatedProteins.fasta","N/A","731","1","5151","4142","N/A","210","4941","40","4941","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/AluchuensisIFO4308/gff/data/FungiDB-64_AluchuensisIFO4308.gff","yes","FungiDB","0","146","1016","N/A","GenBank","GCA_000239835.2","   37.11","GenBank","Oct 2, 2015","no","Aspergillus luchuensis IFO 4308","Aspergillus luchuensis","1069201","IFO 4308","1033177","http://FungiDB.org/common/downloads/Current_Release/AluchuensisIFO4308/fasta/data/FungiDB-64_AluchuensisIFO4308_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/AluchuensisIFO4308/fasta/data/FungiDB-64_AluchuensisIFO4308_AnnotatedProteins.fasta","N/A","925","N/A","11755","8211","N/A","267","11488","47969","11488","N/A","0","N/A","N/A","N/A","N/A","1"
"http://FungiDB.org/common/downloads/Current_Release/EglyceriaeE277/gff/data/FungiDB-64_EglyceriaeE277.gff","no","FungiDB","0","0","3076","N/A","INSDC","GCA_000225285.2","   46.72","N/A","N/A","yes","Epichloe glyceriae E277","Epichloe glyceriae","79591","E277","1035635","http://FungiDB.org/common/downloads/Current_Release/EglyceriaeE277/fasta/data/FungiDB-64_EglyceriaeE277_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/EglyceriaeE277/fasta/data/FungiDB-64_EglyceriaeE277_AnnotatedProteins.fasta","N/A","N/A","N/A","N/A","N/A","N/A","0","N/A","N/A","0","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/AversicolorCBS583.65/gff/data/FungiDB-64_AversicolorCBS583.65.gff","no","FungiDB","0","51","0","Apollo","GenBank","GCA_001890125.1","   33.13","GenBank","Dec 07, 2016","yes","Aspergillus versicolor CBS 583.65","Aspergillus versicolor","46472","CBS 583.65","1036611","http://FungiDB.org/common/downloads/Current_Release/AversicolorCBS583.65/fasta/data/FungiDB-64_AversicolorCBS583.65_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/AversicolorCBS583.65/fasta/data/FungiDB-64_AversicolorCBS583.65_AnnotatedProteins.fasta","N/A","1617","N/A","13364","9346","N/A","142","13222","50416","13222","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/AsydowiiCBS593.65/gff/data/FungiDB-64_AsydowiiCBS593.65.gff","no","FungiDB","0","97","0","Apollo","GenBank","GCA_001890705.1","   34.38","GenBank","Dec 08, 2016","yes","Aspergillus sydowii CBS 593.65","Aspergillus sydowii","75750","CBS 593.65","1036612","http://FungiDB.org/common/downloads/Current_Release/AsydowiiCBS593.65/fasta/data/FungiDB-64_AsydowiiCBS593.65_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/AsydowiiCBS593.65/fasta/data/FungiDB-64_AsydowiiCBS593.65_AnnotatedProteins.fasta","N/A","1617","N/A","13717","9355","N/A","138","13579","48761","13579","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/PcinnamomiCBS144-22/gff/data/FungiDB-64_PcinnamomiCBS144-22.gff","no","FungiDB","0","1314","0","Apollo","JGI","1","   77.97","JGI","1","yes","Phytophthora cinnamomi var. cinnamomi CBS 144.22","Phytophthora cinnamomi","4785","var. cinnamomi CBS 144.22","1048749","http://FungiDB.org/common/downloads/Current_Release/PcinnamomiCBS144-22/fasta/data/FungiDB-64_PcinnamomiCBS144-22_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/PcinnamomiCBS144-22/fasta/data/FungiDB-64_PcinnamomiCBS144-22_AnnotatedProteins.fasta","N/A","N/A","N/A","26201","8315","N/A","70","26131","73825","26131","N/A","10","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/PmurinaB123/gff/data/FungiDB-64_PmurinaB123.gff","no","FungiDB","0","20","0","Apollo","INSDC","GCA_000349005.2","    7.50","GenBank","Dec 13, 2016","yes","Pneumocystis murina B123","Pneumocystis murina","263815","B123","1069680","http://FungiDB.org/common/downloads/Current_Release/PmurinaB123/fasta/data/FungiDB-64_PmurinaB123_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/PmurinaB123/fasta/data/FungiDB-64_PmurinaB123_AnnotatedProteins.fasta","N/A","511","N/A","3675","3011","N/A","52","3623","10655","3623","N/A","0","3675","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/AwentiiDTO134E9/gff/data/FungiDB-64_AwentiiDTO134E9.gff","no","FungiDB","0","27","0","Apollo","GenBank","GCA_001890725.1","   31.35","GenBank","Dec 08, 2016","yes","Aspergillus wentii DTO 134E9","Aspergillus wentii","5066","DTO 134E9","1073089","http://FungiDB.org/common/downloads/Current_Release/AwentiiDTO134E9/fasta/data/FungiDB-64_AwentiiDTO134E9_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/AwentiiDTO134E9/fasta/data/FungiDB-64_AwentiiDTO134E9_AnnotatedProteins.fasta","N/A","1495","N/A","12659","8535","N/A","224","12435","47139","12435","N/A","0","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/PzonataCBS506.65/gff/data/FungiDB-64_PzonataCBS506.65.gff","no","FungiDB","0","246","0","Apollo","GenBank","GCA_001890105.1","   26.09","GenBank","Dec 08, 2016","yes","Penicilliopsis zonata CBS 506.65","Penicilliopsis zonata","41063","CBS 506.65","1073090","http://FungiDB.org/common/downloads/Current_Release/PzonataCBS506.65/fasta/data/FungiDB-64_PzonataCBS506.65_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/PzonataCBS506.65/fasta/data/FungiDB-64_PzonataCBS506.65_AnnotatedProteins.fasta","N/A","1274","N/A","10027","6960","N/A","158","9869","27","9869","N/A","3","N/A","N/A","N/A","N/A","N/A"
"http://FungiDB.org/common/downloads/Current_Release/FodoratissimumNRRL54006/gff/data/FungiDB-64_FodoratissimumNRRL54006.gff","no","FungiDB","0","418","0","N/A","GenBank","GCA_000260195.2","   46.55","GenBank","Mar 23, 2015","no","Fusarium odoratissimum NRRL 54006","Fusarium odoratissimum","2502994","NRRL 54006","1089451","http://FungiDB.org/common/downloads/Current_Release/FodoratissimumNRRL54006/fasta/data/FungiDB-64_FodoratissimumNRRL54006_Genome.fasta","http://FungiDB.org/common/downloads/Current_Release/FodoratissimumNRRL54006/fasta/data/FungiDB-64_FodoratissimumNRRL54006_AnnotatedProteins.fasta","N/A","1677","N/A","16975","10224","N/A","341","16634","119777","16634","N/A","7","N/A","N/A","N/A","N/A","N/A"
