species_name,genome_file_name,cds_file_name,original_name,source
saccharomyces_cerevisiae,saccharomyces_cerevisiae_genomic.fna,saccharomyces_cerevisiae_cds.fna,saccharomyces_cerevisiae,ncbi
fusarium_oxysporum,fusarium_oxysporum_genomic.fna,fusarium_oxysporum_cds.fna,fusarium_oxysporum,ncbi
candida_albicans,candida_albicans_genomic.fna,candida_albicans_cds.fna,candida_albicans,ncbi
cryptococcus_neoformans,cryptococcus_neoformans_genomic.fna,cryptococcus_neoformans_cds.fna,cryptococcus_neoformans,ncbi
saccharomyces_kudriavzevii,saccharomyces_kudriavzevii_genomic.fna,saccharomyces_kudriavzevii_cds.fna,saccharomyces_kudriavzevii,ncbi
pyricularia_oryzae,pyricularia_oryzae_genomic.fna,pyricularia_oryzae_cds.fna,pyricularia_oryzae,ncbi
trichophyton_rubrum,trichophyton_rubrum_genomic.fna,trichophyton_rubrum_cds.fna,trichophyton_rubrum,ncbi
cryptococcus_gattii,cryptococcus_gattii_vgii_genomic.fna,cryptococcus_gattii_vgii_cds.fna,cryptococcus_gattii_vgii,ncbi
puccinia_striiformis,puccinia_striiformis_genomic.fna,puccinia_striiformis_cds.fna,puccinia_striiformis,ncbi
rhizoctonia_solani,rhizoctonia_solani_genomic.fna,rhizoctonia_solani_cds.fna,rhizoctonia_solani,ncbi
aspergillus_oryzae,aspergillus_oryzae_genomic.fna,aspergillus_oryzae_cds.fna,aspergillus_oryzae,ncbi
zymoseptoria_tritici,zymoseptoria_tritici_genomic.fna,zymoseptoria_tritici_cds.fna,zymoseptoria_tritici,ncbi
aspergillus_fumigatus,aspergillus_fumigatus_genomic.fna,aspergillus_fumigatus_cds.fna,aspergillus_fumigatus,ncbi
rhizopus_microsporus,rhizopus_microsporus_genomic.fna,rhizopus_microsporus_cds.fna,rhizopus_microsporus,ncbi
blumeria_graminis,blumeria_graminis_genomic.fna,blumeria_graminis_cds.fna,blumeria_graminis,ncbi
aspergillus_niger,aspergillus_niger_genomic.fna,aspergillus_niger_cds.fna,aspergillus_niger,ncbi
